px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS	sensor_type
9.83981	-11.8392	-2.46612	1.51904	-0.409759	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0.48451	L
9.82705	-11.9619	-2.46609	1.49534	-0.412791	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.120908	R
9.77435	-12.1088	-2.50875	1.44363	-0.441987	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0.992507	L
9.72754	-12.2173	-2.38446	1.38426	-0.4933	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	4.22987	R
9.66712	-12.3469	-2.41308	1.33381	-0.517354	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0.818232	L
9.58265	-12.4273	-2.2191	1.23986	-0.608737	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	10.5342	R
9.50143	-12.5471	-2.26058	1.17939	-0.636431	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	1.15179	L
9.44079	-12.6577	-2.24038	1.13077	-0.653917	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.320551	R
9.34789	-12.7773	-2.27683	1.06905	-0.677448	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0.931942	L
9.21276	-12.8363	-2.09526	0.916996	-0.835661	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	23.1071	R
9.07335	-12.9445	-2.19475	0.828809	-0.876904	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	3.15808	L
8.94272	-13.0162	-2.17808	0.71864	-0.956658	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	4.58712	R
8.80893	-13.0945	-2.22415	0.639999	-0.979541	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	1.32121	L
8.6626	-13.1464	-2.25964	0.518212	-1.07463	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	5.93915	R
8.51672	-13.2035	-2.32401	0.439277	-1.09558	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	1.54545	L
